year,total_distance_km,legs_count,average_leg_km
1950,16767.314,6,2794.552
1951,16551.044,7,2364.435
1952,16412.887,7,2344.698
1953,17502.808,8,2187.851
1954,18198.822,8,2274.853
1955,27157.66,6,4526.277
1956,26971.055,7,3853.008
1957,27762.608,7,3966.087
1958,31809.245,10,3180.924
1959,28029.686,8,3503.711
1960,38420.013,9,4268.89
1961,9961.578,7,1423.083
1962,24056.301,8,3007.038
1963,27372.225,9,3041.358
1964,13287.212,9,1476.357
1965,21933.212,9,2437.024
1966,12299.859,8,1537.482
1967,33367.138,10,3336.714
1968,21669.126,11,1969.921
1969,22184.432,10,2218.443
1970,22986.162,12,1915.514
1971,20080.378,10,2008.038
1972,27586.934,11,2507.903
1973,31889.512,14,2277.822
1974,31157.528,14,2225.538
1975,30460.764,13,2343.136
1976,60199.513,15,4013.301
1977,59959.212,16,3747.451
1978,52494.864,15,3499.658
1979,48029.394,14,3430.671
1980,46754.611,13,3596.509
1981,40470.873,14,2890.777
1982,55210.364,15,3680.691
1983,46843.241,14,3345.946
1984,39464.735,15,2630.982
1985,47965.161,15,3197.677
1986,51619.402,15,3441.293
1987,58619.983,15,3907.999
1988,56193.506,15,3746.234
1989,56341.126,15,3756.075
1990,64163.395,15,4277.56
1991,63186.164,15,4212.411
1992,68203.416,15,4546.894
1993,55845.818,15,3723.055
1994,65441.494,15,4362.766
1995,50577.817,16,3161.114
1996,55930.617,15,3728.708
1997,63834.2,16,3989.637
1998,53832.391,15,3588.826
1999,55627.273,15,3708.485
2000,65545.04,16,4096.565
2001,68644.922,16,4290.308
2002,68501.996,16,4281.375
2003,67829.134,15,4521.942
2004,65336.524,17,3843.325
2005,67786.437,18,3765.913
2006,78453.332,17,4614.902
2007,67030.161,16,4189.385
2008,74634.269,17,4390.251
2009,77986.319,16,4874.145
2010,99435.607,18,5524.2
2011,72617.528,18,4034.307
2012,83156.058,19,4376.635
2013,81314.607,18,4517.478
2014,100573.618,18,5587.423
2015,93769.315,18,5209.406
2016,99069.679,20,4953.484
2017,90152.286,19,4744.857
2018,104696.559,20,5234.828
2019,106120.561,20,5306.028
2020,18098.21,16,1131.138
2021,57464.039,21,2736.383
2022,116138.735,21,5530.416
2023,131513.236,21,6262.535
2024,121396.087,23,5278.091
2025,114446.351,23,4975.928
