year,from_round,from_circuitId,from_name,from_lat,from_lng,to_round,to_circuitId,to_name,to_lat,to_lng,distance_km,cumulative_km
2009,1,1,Albert Park Grand Prix Circuit,-37.8497,144.968,2,2,Sepang International Circuit,2.76083,101.738,6334.581,6334.581
2009,2,2,Sepang International Circuit,2.76083,101.738,3,17,Shanghai International Circuit,31.3389,121.22,3777.389,10111.97
2009,3,17,Shanghai International Circuit,31.3389,121.22,4,3,Bahrain International Circuit,26.0325,50.5106,6804.824,16916.795
2009,4,3,Bahrain International Circuit,26.0325,50.5106,5,4,Circuit de Barcelona-Catalunya,41.57,2.26111,4710.93,21627.725
2009,5,4,Circuit de Barcelona-Catalunya,41.57,2.26111,6,6,Circuit de Monaco,43.7347,7.42056,485.642,22113.367
2009,6,6,Circuit de Monaco,43.7347,7.42056,7,5,Istanbul Park,40.9517,29.405,1827.536,23940.903
2009,7,5,Istanbul Park,40.9517,29.405,8,9,Silverstone Circuit,52.0786,-1.01694,2609.324,26550.227
2009,8,9,Silverstone Circuit,52.0786,-1.01694,9,20,Nürburgring,50.3356,6.9475,587.345,27137.572
2009,9,20,Nürburgring,50.3356,6.9475,10,11,Hungaroring,47.5789,19.2486,947.673,28085.245
2009,10,11,Hungaroring,47.5789,19.2486,11,12,Valencia Street Circuit,39.4589,-0.331667,1811.315,29896.561
2009,11,12,Valencia Street Circuit,39.4589,-0.331667,12,13,Circuit de Spa-Francorchamps,50.4372,5.97139,1316.476,31213.037
2009,12,13,Circuit de Spa-Francorchamps,50.4372,5.97139,13,14,Autodromo Nazionale di Monza,45.6156,9.28111,589.785,31802.822
2009,13,14,Autodromo Nazionale di Monza,45.6156,9.28111,14,15,Marina Bay Street Circuit,1.2914,103.864,10260.984,42063.806
2009,14,15,Marina Bay Street Circuit,1.2914,103.864,15,22,Suzuka Circuit,34.8431,136.541,5035.986,47099.792
2009,15,22,Suzuka Circuit,34.8431,136.541,16,18,Autódromo José Carlos Pace,-23.7036,-46.6997,18737.435,65837.227
2009,16,18,Autódromo José Carlos Pace,-23.7036,-46.6997,17,24,Yas Marina Circuit,24.4672,54.6031,12149.092,77986.319
2008,1,1,Albert Park Grand Prix Circuit,-37.8497,144.968,2,2,Sepang International Circuit,2.76083,101.738,6334.581,6334.581
2008,2,2,Sepang International Circuit,2.76083,101.738,3,3,Bahrain International Circuit,26.0325,50.5106,6040.7,12375.281
2008,3,3,Bahrain International Circuit,26.0325,50.5106,4,4,Circuit de Barcelona-Catalunya,41.57,2.26111,4710.93,17086.211
2008,4,4,Circuit de Barcelona-Catalunya,41.57,2.26111,5,5,Istanbul Park,40.9517,29.405,2260.551,19346.762
2008,5,5,Istanbul Park,40.9517,29.405,6,6,Circuit de Monaco,43.7347,7.42056,1827.536,21174.299
2008,6,6,Circuit de Monaco,43.7347,7.42056,7,7,Circuit Gilles Villeneuve,45.5,-73.5228,6121.738,27296.036
2008,7,7,Circuit Gilles Villeneuve,45.5,-73.5228,8,8,Circuit de Nevers Magny-Cours,46.8642,3.16361,5658.466,32954.502
2008,8,8,Circuit de Nevers Magny-Cours,46.8642,3.16361,9,9,Silverstone Circuit,52.0786,-1.01694,653.522,33608.025
2008,9,9,Silverstone Circuit,52.0786,-1.01694,10,10,Hockenheimring,49.3278,8.56583,740.187,34348.212
2008,10,10,Hockenheimring,49.3278,8.56583,11,11,Hungaroring,47.5789,19.2486,810.714,35158.925
2008,11,11,Hungaroring,47.5789,19.2486,12,12,Valencia Street Circuit,39.4589,-0.331667,1811.315,36970.24
2008,12,12,Valencia Street Circuit,39.4589,-0.331667,13,13,Circuit de Spa-Francorchamps,50.4372,5.97139,1316.476,38286.716
2008,13,13,Circuit de Spa-Francorchamps,50.4372,5.97139,14,14,Autodromo Nazionale di Monza,45.6156,9.28111,589.785,38876.502
2008,14,14,Autodromo Nazionale di Monza,45.6156,9.28111,15,15,Marina Bay Street Circuit,1.2914,103.864,10260.984,49137.486
2008,15,15,Marina Bay Street Circuit,1.2914,103.864,16,16,Fuji Speedway,35.3717,138.927,5240.86,54378.346
2008,16,16,Fuji Speedway,35.3717,138.927,17,17,Shanghai International Circuit,31.3389,121.22,1701.966,56080.313
2008,17,17,Shanghai International Circuit,31.3389,121.22,18,18,Autódromo José Carlos Pace,-23.7036,-46.6997,18553.956,74634.269
2007,1,1,Albert Park Grand Prix Circuit,-37.8497,144.968,2,2,Sepang International Circuit,2.76083,101.738,6334.581,6334.581
2007,2,2,Sepang International Circuit,2.76083,101.738,3,3,Bahrain International Circuit,26.0325,50.5106,6040.7,12375.281
2007,3,3,Bahrain International Circuit,26.0325,50.5106,4,4,Circuit de Barcelona-Catalunya,41.57,2.26111,4710.93,17086.211
2007,4,4,Circuit de Barcelona-Catalunya,41.57,2.26111,5,6,Circuit de Monaco,43.7347,7.42056,485.642,17571.853
2007,5,6,Circuit de Monaco,43.7347,7.42056,6,7,Circuit Gilles Villeneuve,45.5,-73.5228,6121.738,23693.591
2007,6,7,Circuit Gilles Villeneuve,45.5,-73.5228,7,19,Indianapolis Motor Speedway,39.795,-86.2347,1215.792,24909.383
2007,7,19,Indianapolis Motor Speedway,39.795,-86.2347,8,8,Circuit de Nevers Magny-Cours,46.8642,3.16361,6871.656,31781.04
2007,8,8,Circuit de Nevers Magny-Cours,46.8642,3.16361,9,9,Silverstone Circuit,52.0786,-1.01694,653.522,32434.562
2007,9,9,Silverstone Circuit,52.0786,-1.01694,10,20,Nürburgring,50.3356,6.9475,587.345,33021.908
2007,10,20,Nürburgring,50.3356,6.9475,11,11,Hungaroring,47.5789,19.2486,947.673,33969.581
2007,11,11,Hungaroring,47.5789,19.2486,12,5,Istanbul Park,40.9517,29.405,1092.453,35062.034
2007,12,5,Istanbul Park,40.9517,29.405,13,14,Autodromo Nazionale di Monza,45.6156,9.28111,1704.174,36766.208
2007,13,14,Autodromo Nazionale di Monza,45.6156,9.28111,14,13,Circuit de Spa-Francorchamps,50.4372,5.97139,589.785,37355.994
2007,14,13,Circuit de Spa-Francorchamps,50.4372,5.97139,15,16,Fuji Speedway,35.3717,138.927,9418.245,46774.238
2007,15,16,Fuji Speedway,35.3717,138.927,16,17,Shanghai International Circuit,31.3389,121.22,1701.966,48476.205
2007,16,17,Shanghai International Circuit,31.3389,121.22,17,18,Autódromo José Carlos Pace,-23.7036,-46.6997,18553.956,67030.161
2006,1,3,Bahrain International Circuit,26.0325,50.5106,2,2,Sepang International Circuit,2.76083,101.738,6040.7,6040.7
2006,2,2,Sepang International Circuit,2.76083,101.738,3,1,Albert Park Grand Prix Circuit,-37.8497,144.968,6334.581,12375.281
